date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-04-01,Meghalaya,East Khasi Hills,793015,190,706,242,1138
2025-04-01,Meghalaya,East Khasi Hills,793121,301,972,290,1563
2025-04-01,Meghalaya,West Jaintia Hills,793150,382,792,375,1549
2025-04-01,Meghalaya,West Garo Hills,794002,134,344,199,677
2025-04-01,Meghalaya,East Jaintia Hills,793160,234,255,86,575
2025-04-01,Meghalaya,West Khasi Hills,793120,323,858,487,1668
2025-04-01,Meghalaya,West Garo Hills,794103,198,347,137,682
2025-04-01,Meghalaya,East Khasi Hills,793110,168,538,175,881
2025-04-01,Meghalaya,East Jaintia Hills,793200,200,510,197,907
2025-04-01,Meghalaya,East Khasi Hills,793009,68,339,141,548
2025-04-01,Meghalaya,Ri Bhoi,793102,105,460,196,761
2025-04-01,Meghalaya,Ri Bhoi,793103,85,360,85,530
2025-04-01,Meghalaya,West Jaintia Hills,793151,214,423,291,928
2025-04-01,Meghalaya,Ri Bhoi,793105,88,434,184,706
2025-04-01,Meghalaya,East Garo Hills,794111,247,714,185,1146
2025-04-01,Meghalaya,West Garo Hills,794104,401,379,149,929
2025-04-01,Meghalaya,South West Garo Hills,794115,481,253,85,819
2025-04-01,Meghalaya,North Garo Hills,794002,94,501,51,646
2025-04-01,Meghalaya,East Garo Hills,794110,244,410,108,762
2025-04-01,Meghalaya,West Khasi Hills,793119,573,1812,642,3027
2025-04-01,Meghalaya,South West Garo Hills,794105,427,271,67,765
2025-04-01,Meghalaya,South West Khasi Hills,793114,166,322,101,589
2025-05-01,Meghalaya,East Jaintia Hills,793200,93,166,174,433
2025-05-01,Meghalaya,West Khasi Hills,793120,167,215,379,761
2025-05-01,Meghalaya,West Jaintia Hills,793150,417,416,309,1142
2025-05-01,Meghalaya,East Khasi Hills,793015,75,393,347,815
2025-05-01,Meghalaya,West Garo Hills,794002,42,342,158,542
2025-05-01,Meghalaya,West Khasi Hills,793119,239,888,544,1671
2025-05-01,Meghalaya,Ri Bhoi,793102,99,323,235,657
2025-05-01,Meghalaya,Ri Bhoi,793105,60,210,183,453
2025-05-01,Meghalaya,West Jaintia Hills,793151,66,276,218,560
2025-05-01,Meghalaya,East Khasi Hills,793121,88,373,435,896
2025-05-01,Meghalaya,East Khasi Hills,793110,91,298,155,544
2025-05-01,Meghalaya,East Garo Hills,794111,109,284,175,568
2025-05-01,Meghalaya,West Garo Hills,794104,286,236,140,662
2025-06-01,Meghalaya,West Garo Hills,794005,29,199,240,468
2025-06-01,Meghalaya,South West Garo Hills,794115,231,170,126,527
2025-06-01,Meghalaya,West Garo Hills,794105,179,222,128,529
2025-06-01,Meghalaya,Ri Bhoi,793102,42,226,189,457
2025-06-01,Meghalaya,East Jaintia Hills,793200,49,259,226,534
2025-06-01,Meghalaya,West Garo Hills,794104,160,205,148,513
2025-06-01,Meghalaya,East Garo Hills,794111,40,236,223,499
2025-06-01,Meghalaya,West Garo Hills,794103,62,197,244,503
2025-06-01,Meghalaya,West Khasi Hills,793119,85,889,512,1486
2025-06-01,Meghalaya,West Khasi Hills,793120,44,407,240,691
2025-06-01,Meghalaya,East Khasi Hills,793110,22,275,210,507
2025-06-01,Meghalaya,East Khasi Hills,793015,36,302,129,467
2025-06-01,Meghalaya,West Jaintia Hills,793151,47,319,168,534
2025-06-01,Meghalaya,West Jaintia Hills,793150,128,589,335,1052
2025-06-01,Meghalaya,East Khasi Hills,793121,26,328,211,565
2025-07-01,Meghalaya,Ri Bhoi,793105,186,400,343,929
2025-07-01,Meghalaya,West Garo Hills,794103,111,344,265,720
2025-07-01,Meghalaya,West Garo Hills,794104,359,329,251,939
2025-07-01,Meghalaya,East Khasi Hills,793110,78,464,354,896
2025-07-01,Meghalaya,East Garo Hills,794110,32,236,190,458
2025-07-01,Meghalaya,East Khasi Hills,793015,46,325,424,795
2025-07-01,Meghalaya,East Khasi Hills,793111,71,276,131,478
2025-07-01,Meghalaya,Ri Bhoi,793103,35,262,248,545
2025-07-01,Meghalaya,West Jaintia Hills,793151,56,374,283,713
2025-07-01,Meghalaya,South West Khasi Hills,793114,108,192,225,525
2025-07-01,Meghalaya,West Khasi Hills,793120,155,602,324,1081
2025-07-01,Meghalaya,West Khasi Hills,793119,287,1396,855,2538
2025-07-01,Meghalaya,East Garo Hills,794111,41,370,197,608
2025-07-01,Meghalaya,West Jaintia Hills,793150,150,602,482,1234
2025-07-01,Meghalaya,West Garo Hills,794002,84,434,410,928
2025-07-01,Meghalaya,West Garo Hills,794105,194,243,220,657
2025-07-01,Meghalaya,Ri Bhoi,793102,81,430,320,831
2025-07-01,Meghalaya,East Jaintia Hills,793160,108,228,182,518
2025-07-01,Meghalaya,East Jaintia Hills,793200,92,343,334,769
2025-07-01,Meghalaya,South West Garo Hills,794115,203,195,138,536
2025-07-01,Meghalaya,West Garo Hills,794005,49,282,185,516
2025-07-01,Meghalaya,East Khasi Hills,793121,102,599,430,1131
2025-03-09,Karnataka,Bengaluru Urban,560043,14,33,39,86
2025-03-09,Karnataka,Bengaluru Urban,560016,14,16,21,51
2025-03-09,Karnataka,Bengaluru Urban,560068,14,17,35,66
2025-03-20,Karnataka,Bengaluru Urban,560037,20,16,17,53
2025-03-20,Karnataka,Bengaluru Urban,560068,56,20,16,92
2025-03-20,Karnataka,Bengaluru Urban,560036,28,12,13,53
2025-03-20,Karnataka,Bengaluru Urban,560043,49,16,28,93
2025-03-20,Karnataka,Bengaluru Urban,560100,28,13,11,52
2025-03-20,Karnataka,Bengaluru Urban,560077,30,12,17,59
2025-04-01,Karnataka,Bengaluru,560036,204,34,29,267
2025-04-01,Karnataka,Bengaluru,560032,311,46,25,382
2025-04-01,Karnataka,Bengaluru,560047,150,11,12,173
2025-04-01,Karnataka,Bengaluru,560077,218,38,41,297
2025-04-01,Karnataka,Bengaluru,560029,102,23,17,142
2025-04-01,Karnataka,Bengaluru,560103,67,24,37,128
2025-04-01,Karnataka,Bengaluru,560066,162,38,55,255
2025-04-01,Karnataka,Bengaluru,560076,193,50,36,279
2025-04-01,Karnataka,Mysuru,570019,456,19,10,485
2025-04-01,Karnataka,Bengaluru,560049,183,25,15,223
2025-04-01,Karnataka,Bengaluru,560061,194,23,16,233
2025-04-01,Karnataka,Yadgir,585290,242,45,11,298
2025-04-01,Karnataka,Bengaluru,560048,98,27,19,144
2025-04-01,Karnataka,Bengaluru,560064,325,45,40,410
2025-04-01,Karnataka,Yadgir,585202,294,44,10,348
2025-04-01,Karnataka,Bengaluru,560087,131,28,34,193
2025-04-01,Karnataka,Bengaluru,560102,61,12,22,95
2025-04-01,Karnataka,Bengaluru,560092,74,13,14,101
2025-04-01,Karnataka,Bengaluru,560083,162,30,12,204
2025-04-01,Karnataka,Bengaluru,560091,343,21,21,385
2025-04-01,Karnataka,Bengaluru,560035,105,30,50,185
2025-04-01,Karnataka,Bengaluru,560093,66,20,12,98
2025-04-01,Karnataka,Bengaluru,560016,210,48,45,303
2025-04-01,Karnataka,Bengaluru,560024,51,15,10,76
2025-04-01,Karnataka,Bengaluru,560100,228,51,31,310
2025-04-01,Karnataka,Kalaburagi,585104,560,31,17,608
2025-04-01,Karnataka,Bengaluru,560045,383,31,15,429
2025-04-01,Karnataka,Bengaluru,560067,158,26,39,223
2025-04-01,Karnataka,Bengaluru,560078,232,36,26,294
2025-04-01,Karnataka,Bengaluru,560037,126,46,118,290
