state,district,total_enrolments,state_avg,below_avg_pct
Haryana,Jhajjar *,1,6.141901606551229,83.71839758987095
Jammu and Kashmir,punch,1,4.2417359024217784,76.42474630659916
Rajasthan,Balotra,1,6.204846952402999,83.88356702959898
Maharashtra,Hingoli *,1,4.782150768872019,79.08890688873296
Rajasthan,Beawar,1,6.204846952402999,83.88356702959898
West Bengal,East Midnapur,1,4.904624995099256,79.61108135689867
Uttar Pradesh,Bagpat,1,9.229303518198044,89.1649462169249
Rajasthan,Salumbar,1,6.204846952402999,83.88356702959898
West Bengal,KOLKATA,1,4.904624995099256,79.61108135689867
West Bengal,Hooghiy,1,4.904624995099256,79.61108135689867
Delhi,North East   *,2,13.893151087595532,85.60441769192522
Jharkhand,Bokaro *,2,6.785209751055215,70.52412418512242
Meghalaya,Jaintia Hills,4,29.109254839565104,86.25866576782575
